Station Number,Station Name,Basin Plan WQ zone,River Basin,Latitude,Longitude,DPE Water WQ target zones
422012,NARRAN RIVER AT NEW ANGLEDOOL,A1,Intersecting Streams,-29.11398500000,147.90456900000,A1 Intersecting Streams
422013,BIRRIE RIVER AT NEAR GOODOOGA,A1,Intersecting Streams,-29.10232000000,147.42768000000,A1 Intersecting Streams
422014,BOKHARA RIVER AT GOODOOGA,A1,Intersecting Streams,-29.11250000000,147.44815000000,A1 Intersecting Streams
422015,CULGOA RIVER AT BRENDA,A1,Intersecting Streams,-29.02926000000,147.31350000000,A1 Intersecting Streams
423002,WARREGO RIVER AT FORDS BRIDGE BYWASH,A1,Intersecting Streams,-29.75575000000,145.44310000000,A1 Intersecting Streams
424002,PAROO RIVER AT WILLARA CROSSING,A1,Intersecting Streams,-29.24160000000,144.45570000000,A1 Intersecting Streams
416001,BARWON RIVER AT MUNGINDI,A2,Border Rivers,-28.97599291300,148.98429191900,A2 Border Rivers lower
416048,MACINTYRE RIVER AT KANOWNA,A2,Border Rivers,-28.69570000000,149.38780000000,A2 Border Rivers lower
41610152,GIL GIL CREEK AT COLLARENEBRI ROAD BRIDGE,A2,Gwydir,-29.14750000000,148.89970000000,A2 Gwydir regulated
418054,MOOMIN CREEK AT IFFLEY,A2,Gwydir,-29.55808808100,148.89090150100,A2 Gwydir regulated
418058,MEHI RIVER AT BRONTE,A2,Gwydir,-29.47766186600,148.90333902300,A2 Gwydir regulated
419021,NAMOI RIVER AT BUGILBONE (RIVERVIEW),A2,Namoi,-30.27286928300,148.82055987500,A2 Namoi regulated lowlands
419026,NAMOI RIVER AT GOANGRA,A2,Namoi,-30.14605365100,148.38976977600,A2 Namoi regulated lowlands
412005,LACHLAN RIVER AT BOOLIGAL,A3,Lachlan,-33.86956000000,144.88118800000,A3 Lachlan lowlands
412006,LACHLAN RIVER AT CONDOBOLIN BRIDGE,A3,Lachlan,-33.09011412490,147.14843212790,A3 Lachlan lowlands
412011,LACHLAN RIVER AT LAKE CARGELLIGO WEIR,A3,Lachlan,-33.20111110000,146.45333330000,A3 Lachlan lowlands
412039,LACHLAN RIVER AT HILLSTON WEIR,A3,Lachlan,-33.48685600000,145.50398100000,A3 Lachlan lowlands
